Nombres,nivel_satisfaccion,ultima_evaluacion,numero_proyectos,prom_horas_mes,tiempo_empresa,"accidente_trabajo (0 No, 1 Si)","promocion_ultimos_5 (0 Si, 1 No)","salario (0 Bajo, 1 Medio, 2 2)","renuncio (1 Si, 0 No)"
Empleado 955,0.4,0.46,2,131,3,0,0,0,1
Empleado 956,0.1,0.91,6,262,5,1,0,0,1
Empleado 957,0.46,0.53,2,143,3,1,0,0,1
Empleado 958,0.39,0.57,2,133,3,0,0,1,1
Empleado 959,0.41,0.5,2,153,3,0,0,1,1
Empleado 960,0.1,0.94,7,281,4,0,0,1,1
Empleado 961,0.39,0.51,2,132,3,0,0,1,1
Empleado 962,0.73,0.83,5,270,5,1,0,1,1
Empleado 963,0.41,0.45,2,150,3,0,0,1,1
Empleado 964,0.37,0.51,2,140,3,0,0,1,1
Empleado 965,0.38,0.5,2,150,3,1,0,1,1
Empleado 966,0.8,0.63,5,180,5,0,0,1,1
Empleado 967,0.09,0.85,5,281,4,0,0,1,1
Empleado 968,0.85,0.92,4,275,5,0,0,1,1
Empleado 969,0.42,0.54,2,130,3,0,0,1,1
Empleado 970,0.41,0.48,2,130,3,0,0,2,1
Empleado 971,0.38,0.46,2,147,3,0,0,0,1
Empleado 972,0.72,1,5,264,5,0,0,1,1
Empleado 973,0.11,0.74,6,290,5,0,0,1,1
Empleado 974,0.37,0.47,2,150,3,0,0,1,1
Empleado 975,0.1,0.81,6,304,4,0,0,1,1
Empleado 976,0.36,0.54,2,136,3,0,0,0,1
Empleado 977,0.92,0.94,5,307,5,0,0,0,1
Empleado 978,0.11,0.87,5,303,4,0,0,0,1
Empleado 979,0.39,0.56,2,156,3,0,0,0,1
Empleado 980,0.11,0.95,6,271,4,0,0,0,1
Empleado 981,0.45,0.45,2,140,3,0,0,0,1
Empleado 982,0.44,0.55,2,130,3,1,0,0,1
Empleado 983,0.85,0.97,4,266,6,0,0,0,1
Empleado 984,0.43,0.52,2,139,3,0,0,0,1
Empleado 985,0.75,0.86,5,260,5,0,0,0,1
Empleado 986,0.11,0.55,2,137,3,1,0,0,1
Empleado 987,0.36,0.5,2,158,3,0,0,0,1
Empleado 988,0.1,0.79,6,249,4,0,0,0,1
Empleado 989,0.74,0.89,5,259,5,0,0,0,1
Empleado 990,0.4,0.46,2,144,3,0,0,0,1
Empleado 991,0.09,0.77,6,244,4,0,0,0,1
Empleado 992,0.76,0.91,4,219,5,0,0,0,1
Empleado 993,0.45,0.57,2,151,3,0,0,0,1
Empleado 994,0.84,0.88,4,269,5,0,0,0,1
Empleado 995,0.38,0.45,2,127,3,0,0,0,1
Empleado 996,0.38,0.46,2,144,3,0,0,0,1
Empleado 997,0.38,0.54,2,157,3,0,0,1,1
Empleado 998,0.86,0.94,5,224,5,0,0,1,1
Empleado 999,0.37,0.46,2,155,3,0,0,1,1
Empleado 1000,0.37,0.5,2,131,3,0,0,1,1
Empleado 1001,0.87,1,4,258,5,1,1,1,1
Empleado 1002,0.11,0.85,6,267,4,0,0,1,1
Empleado 1003,0.42,0.5,2,141,3,0,0,1,1
Empleado 1004,0.43,0.48,2,160,3,0,0,1,1
Empleado 1005,0.09,0.8,6,247,4,0,0,1,1
Empleado 1006,0.54,0.56,4,260,3,0,0,1,1
Empleado 1007,0.4,0.47,2,151,3,0,0,1,1
Empleado 1008,0.36,0.52,2,137,3,1,0,1,1
Empleado 1009,0.87,0.9,4,256,5,0,0,2,1
Empleado 1010,0.75,0.88,4,239,5,0,0,0,1
Empleado 1011,0.43,0.53,2,152,3,0,0,1,1
Empleado 1012,0.43,0.47,2,149,3,0,0,1,1
Empleado 1013,0.1,0.87,6,284,4,0,0,1,1
Empleado 1014,0.11,0.78,7,248,4,0,0,1,1
Empleado 1015,0.44,0.53,2,156,3,0,0,0,1
Empleado 1016,0.39,0.48,2,138,3,0,0,0,1
Empleado 1017,0.4,0.55,2,155,3,0,0,0,1
Empleado 1018,0.92,0.87,4,229,6,0,0,0,1
Empleado 1019,0.36,0.47,2,136,3,0,0,0,1
Empleado 1020,0.86,0.95,4,241,5,0,0,0,1
Empleado 1021,0.74,0.87,5,258,5,0,0,0,1
Empleado 1022,0.8,0.95,3,146,5,0,0,0,1
Empleado 1023,0.36,0.48,2,145,3,0,0,0,1
Empleado 1024,0.42,0.57,2,159,3,0,0,0,1
Empleado 1025,0.42,0.47,2,129,3,0,0,0,1
Empleado 1026,0.4,0.45,2,142,3,0,0,0,1
Empleado 1027,0.46,0.53,2,129,3,0,0,0,1
Empleado 1028,0.09,0.9,6,287,4,0,0,0,1
Empleado 1029,0.88,0.89,4,275,5,0,0,0,1
Empleado 1030,0.1,0.82,6,272,4,0,0,0,1
Empleado 1031,0.1,0.97,6,307,4,0,0,0,1
Empleado 1032,0.11,0.93,4,295,3,0,0,0,1
Empleado 1033,0.84,0.88,5,237,5,0,0,0,1
Empleado 1034,0.42,0.56,2,158,3,0,0,0,1
Empleado 1035,0.1,0.86,6,266,4,1,0,0,1
Empleado 1036,0.1,0.95,6,256,4,0,0,1,1
Empleado 1037,0.46,0.54,2,158,3,0,0,1,1
Empleado 1038,0.09,0.97,7,268,4,0,0,1,1
Empleado 1039,0.89,1,4,237,5,0,0,1,1
Empleado 1040,0.82,1,4,273,6,0,0,1,1
Empleado 1041,0.11,0.89,6,309,4,0,0,1,1
Empleado 1042,0.81,0.84,5,258,5,0,0,1,1
Empleado 1043,0.81,0.94,5,233,6,0,0,1,1
Empleado 1044,0.77,1,4,249,6,0,0,1,1
Empleado 1045,0.63,0.94,3,179,2,0,0,1,1
Empleado 1046,0.4,0.57,2,128,3,0,0,1,1
Empleado 1047,0.86,1,4,250,6,0,0,1,1
Empleado 1048,0.37,0.49,2,151,3,0,0,2,1
Empleado 1049,0.44,0.5,2,132,3,0,0,0,1
Empleado 1050,0.74,0.89,5,232,6,0,0,1,1
Empleado 1051,0.79,1,4,229,5,1,0,1,1
Empleado 1052,0.09,0.92,6,261,4,0,0,1,1
Empleado 1053,0.37,0.48,2,129,3,0,0,1,1
Empleado 1054,0.09,0.78,6,244,4,0,0,0,1
Empleado 1055,0.09,0.84,6,258,4,0,0,0,1
Empleado 1056,0.1,0.8,7,292,5,0,0,0,1
Empleado 1057,0.45,0.56,2,143,3,0,0,0,1
Empleado 1058,0.4,0.51,2,136,3,0,0,0,1
Empleado 1059,0.31,0.95,6,235,5,0,0,0,1
Empleado 1060,0.7,0.93,2,310,3,0,0,0,1
Empleado 1061,0.36,0.48,2,152,3,0,0,0,1
Empleado 1062,0.34,0.97,6,157,5,1,0,0,1
Empleado 1063,0.87,0.83,5,267,5,0,0,0,1
Empleado 1064,0.11,0.91,6,302,4,0,0,0,1
Empleado 1065,0.47,0.81,4,133,3,0,0,0,1
Empleado 1066,0.43,0.52,2,142,3,0,0,0,1
Empleado 1067,0.43,0.47,2,129,3,0,0,0,1
Empleado 1068,0.45,0.57,2,136,3,0,0,0,1
Empleado 1069,0.74,1,5,223,5,0,0,0,1
Empleado 1070,0.1,0.89,6,244,4,1,0,0,1
Empleado 1071,0.78,0.87,5,243,5,0,0,0,1
Empleado 1072,0.9,0.95,5,275,3,0,0,0,1
Empleado 1073,0.53,0.95,6,205,4,0,0,0,1
Empleado 1074,0.45,0.54,2,154,3,0,0,0,1
Empleado 1075,0.86,0.83,4,270,5,0,0,1,1
Empleado 1076,0.74,0.89,4,267,5,0,0,1,1
Empleado 1077,0.09,0.79,6,276,4,0,0,1,1
Empleado 1078,0.8,0.95,5,244,5,0,0,1,1
Empleado 1079,0.46,0.53,2,128,3,0,0,1,1
Empleado 1080,0.86,0.95,5,269,6,0,0,1,1
Empleado 1081,0.86,0.95,4,238,5,0,0,1,1
Empleado 1082,0.9,0.91,4,269,5,0,0,1,1
Empleado 1083,0.87,0.88,5,231,6,0,0,1,1
Empleado 1084,0.83,0.94,4,267,5,0,0,1,1
Empleado 1085,0.77,0.83,4,245,5,0,0,1,1
Empleado 1086,0.77,1,4,272,5,0,0,1,1
Empleado 1087,0.9,0.86,5,254,5,0,0,2,1
Empleado 1088,0.73,0.92,4,273,5,0,0,0,1
Empleado 1089,0.91,0.9,4,250,5,0,0,1,1
Empleado 1090,0.36,0.53,2,133,3,0,0,1,1
Empleado 1091,0.38,0.54,2,150,3,0,0,1,1
Empleado 1092,0.44,0.46,2,157,3,0,0,1,1
Empleado 1093,0.73,1,5,230,5,0,0,0,1
Empleado 1094,0.89,0.91,5,260,5,0,0,0,1
Empleado 1095,0.11,0.77,6,275,4,0,0,0,1
Empleado 1096,0.1,0.77,7,308,4,0,0,0,1
Empleado 1097,0.37,0.46,2,129,3,0,0,0,1
Empleado 1098,0.38,0.48,2,134,3,0,0,0,1
Empleado 1099,0.42,0.48,2,132,3,0,0,0,1
Empleado 1100,0.44,0.46,2,153,3,0,0,0,1
Empleado 1101,0.11,0.83,6,262,4,0,0,0,1
Empleado 1102,0.09,0.97,7,262,4,0,0,0,1
Empleado 1103,0.43,0.47,2,130,3,0,0,0,1
Empleado 1104,0.38,0.52,2,156,3,0,0,0,1
Empleado 1105,0.11,0.89,6,254,4,0,0,0,1
Empleado 1106,0.37,0.49,2,130,3,0,0,0,1
Empleado 1107,0.44,0.57,2,139,3,0,0,0,1
Empleado 1108,0.72,0.82,5,269,5,0,0,0,1
Empleado 1109,0.1,0.91,7,297,4,0,0,0,1
Empleado 1110,0.73,0.86,5,249,5,0,0,0,1
Empleado 1111,0.09,0.82,7,267,4,0,0,0,1
Empleado 1112,0.44,0.46,2,149,3,0,0,0,1
Empleado 1113,0.09,0.82,6,251,4,0,0,0,1
Empleado 1114,0.1,0.87,6,306,4,0,0,1,1
Empleado 1115,0.11,0.86,6,279,4,0,0,1,1
Empleado 1116,0.42,0.46,2,131,3,0,0,1,1
Empleado 1117,0.09,0.85,6,260,4,0,0,1,1
Empleado 1118,0.72,0.88,5,249,5,0,0,1,1
Empleado 1119,0.75,0.97,4,245,5,0,0,1,1
Empleado 1120,0.44,0.5,2,138,3,0,0,1,1
Empleado 1121,0.11,0.91,6,278,4,0,0,1,1
Empleado 1122,0.38,0.47,2,147,3,0,0,1,1
Empleado 1123,0.39,0.57,2,131,3,0,0,1,1
Empleado 1124,0.1,0.9,7,301,4,0,0,1,1
Empleado 1125,0.43,0.52,2,141,3,0,0,1,1
Empleado 1126,0.39,0.57,2,158,3,0,0,2,1
Empleado 1127,0.88,0.87,4,235,6,0,0,0,1
Empleado 1128,0.1,0.85,7,261,4,0,0,1,1
Empleado 1129,0.1,0.89,5,270,4,0,0,1,1
Empleado 1130,0.11,0.93,6,290,4,0,0,1,1
Empleado 1131,0.37,0.47,2,149,3,0,0,1,1
Empleado 1132,0.37,0.48,2,160,3,0,0,0,1
Empleado 1133,0.77,0.87,4,150,4,0,0,0,1
Empleado 1134,0.91,0.94,5,218,6,0,0,0,1
Empleado 1135,0.46,0.51,2,155,3,0,0,0,1
Empleado 1136,0.11,0.87,6,291,4,0,0,0,1
Empleado 1137,0.86,0.91,5,265,5,0,0,0,1
Empleado 1138,0.87,0.88,5,262,6,0,0,0,1
Empleado 1139,0.09,0.92,6,303,5,0,0,0,1
Empleado 1140,0.42,0.46,2,132,3,0,0,0,1
Empleado 1141,0.82,0.83,4,245,5,1,0,0,1
Empleado 1142,0.46,0.48,2,129,3,0,0,0,1
Empleado 1143,0.88,1,5,226,6,0,0,0,1
Empleado 1144,0.1,0.91,6,286,4,0,0,0,1
Empleado 1145,0.43,0.45,2,140,3,0,0,0,1
Empleado 1146,0.37,0.49,2,153,3,0,0,0,1
Empleado 1147,0.8,0.95,5,217,5,0,0,0,1
Empleado 1148,0.83,0.95,5,258,5,0,0,0,1
Empleado 1149,0.39,0.57,2,156,3,0,0,0,1
Empleado 1150,0.77,0.92,5,255,5,0,0,0,1
Empleado 1151,0.43,0.46,2,129,3,0,0,0,1
Empleado 1152,0.79,0.96,4,234,5,0,0,0,1
Empleado 1153,0.39,0.55,2,152,3,1,0,1,1
Empleado 1154,0.1,0.88,7,300,4,0,0,1,1
Empleado 1155,0.39,0.53,2,131,3,0,0,1,1
Empleado 1156,0.11,0.89,6,301,4,0,0,1,1
Empleado 1157,0.4,0.51,2,156,3,0,0,1,1
Empleado 1158,0.42,0.52,2,141,3,1,0,1,1
Empleado 1159,0.57,0.85,4,219,2,1,0,1,1
Empleado 1160,0.11,0.95,7,269,5,0,0,1,1
Empleado 1161,0.36,0.73,4,276,2,0,0,1,1
Empleado 1162,0.11,0.94,7,302,4,0,0,1,1
Empleado 1163,0.35,0.8,6,281,2,0,0,1,1
Empleado 1164,0.78,0.99,5,241,5,0,0,1,1
Empleado 1165,0.11,0.93,7,288,4,0,0,2,1
Empleado 1166,0.1,0.96,6,303,4,0,0,0,1
Empleado 1167,0.42,0.54,2,135,3,0,0,1,1
Empleado 1168,0.43,0.5,2,127,3,1,0,1,1
Empleado 1169,0.79,0.84,5,245,5,0,0,1,1
Empleado 1170,0.45,0.45,2,145,3,0,0,1,1
Empleado 1171,0.09,0.91,6,248,4,0,0,0,1
Empleado 1172,0.11,0.91,6,302,4,0,0,0,1
Empleado 1173,0.45,0.49,2,144,3,0,0,0,1
Empleado 1174,0.11,0.91,6,272,4,0,0,0,1
Empleado 1175,0.09,0.8,6,294,4,0,0,0,1
Empleado 1176,0.78,0.71,4,296,3,0,0,0,1
Empleado 1177,0.38,0.5,2,151,3,1,0,0,1
Empleado 1178,0.82,0.82,4,249,5,0,0,0,1
Empleado 1179,0.85,0.89,4,221,5,0,0,0,1
Empleado 1180,0.45,0.46,2,146,3,0,0,0,1
Empleado 1181,0.77,0.89,5,243,5,0,0,0,1
Empleado 1182,0.39,0.5,2,127,3,0,0,0,1
Empleado 1183,0.91,0.9,4,245,5,0,0,0,1
Empleado 1184,0.11,0.77,6,264,4,0,0,0,1
Empleado 1185,0.46,0.45,2,143,3,0,0,0,1
Empleado 1186,0.43,0.49,2,135,3,0,0,0,1
Empleado 1187,0.11,0.96,6,262,4,1,0,0,1
Empleado 1188,0.1,0.93,6,299,4,0,0,0,1
Empleado 1189,0.09,0.8,5,279,4,0,0,0,1
Empleado 1190,0.36,0.51,2,155,3,0,0,0,1
Empleado 1191,0.11,0.89,6,264,4,0,0,0,1
Empleado 1192,0.09,0.77,6,256,5,0,0,1,1
Empleado 1193,0.44,0.51,2,129,3,0,0,1,1
Empleado 1194,0.73,0.97,5,217,6,0,0,1,1
Empleado 1195,0.21,0.58,7,203,5,0,0,1,1
Empleado 1196,0.8,0.85,4,264,5,0,0,1,1
Empleado 1197,0.37,0.55,2,159,3,0,0,1,1
Empleado 1198,0.79,0.96,5,218,5,0,0,1,1
Empleado 1199,0.09,0.8,6,298,4,0,0,1,1
Empleado 1200,0.75,0.74,6,134,3,0,0,1,1
Empleado 1201,0.83,1,5,263,5,0,0,1,1
Empleado 1202,0.1,0.77,5,252,4,0,0,1,1
Empleado 1203,0.44,0.55,2,136,3,0,0,1,1
Empleado 1204,0.42,0.97,6,259,4,0,0,2,1
Empleado 1205,0.43,0.56,2,158,3,0,0,0,1
Empleado 1206,0.09,0.84,7,307,4,0,0,1,1
Empleado 1207,0.44,0.53,2,152,3,0,0,1,1
Empleado 1208,0.81,0.98,5,237,5,0,0,1,1
Empleado 1209,0.1,0.79,7,284,4,0,0,1,1
Empleado 1210,0.1,0.93,6,243,4,0,0,0,1
Empleado 1211,0.11,0.83,6,268,4,0,0,0,1
Empleado 1212,0.09,0.77,6,244,4,0,0,0,1
Empleado 1213,0.75,0.83,5,262,5,0,0,0,1
Empleado 1214,0.38,0.55,2,134,3,0,0,0,1
Empleado 1215,0.09,0.87,7,278,4,0,0,0,1
Empleado 1216,0.74,0.97,5,238,5,0,0,0,1
Empleado 1217,0.44,0.56,2,127,3,0,0,0,1
Empleado 1218,0.76,0.95,4,259,5,0,0,0,1
Empleado 1219,0.42,0.56,2,146,3,0,0,0,1
Empleado 1220,0.75,1,4,243,5,0,0,0,1
Empleado 1221,0.36,0.52,2,137,3,0,0,0,1
Empleado 1222,0.75,0.93,5,229,5,0,0,0,1
Empleado 1223,0.4,0.46,2,134,3,0,0,0,1
Empleado 1224,0.75,0.89,4,228,5,0,0,0,1
Empleado 1225,0.09,0.84,6,301,4,0,0,0,1
Empleado 1226,0.39,0.46,2,127,3,0,0,0,1
Empleado 1227,0.4,0.48,2,142,3,0,0,0,1
Empleado 1228,0.39,0.54,2,131,3,0,0,0,1
Empleado 1229,0.1,0.85,7,310,5,0,0,0,1
Empleado 1230,0.42,0.55,2,148,3,0,0,0,1
Empleado 1231,0.37,0.52,2,143,3,0,0,1,1
Empleado 1232,0.11,0.98,6,250,4,0,0,1,1
Empleado 1233,0.09,0.88,7,265,4,0,0,1,1
Empleado 1234,0.41,0.54,2,152,3,0,0,1,1
Empleado 1235,0.42,0.49,2,145,3,0,0,1,1
Empleado 1236,0.4,0.49,2,140,3,0,0,1,1
Empleado 1237,0.36,0.47,2,129,3,0,0,1,1
Empleado 1238,0.74,0.9,4,226,5,0,0,1,1
Empleado 1239,0.66,1,5,269,5,0,0,1,1
Empleado 1240,0.38,0.47,2,152,3,0,0,1,1
Empleado 1241,0.43,0.51,2,132,3,0,0,1,1
Empleado 1242,0.43,0.53,2,148,3,0,0,1,1
Empleado 1243,0.1,0.85,6,297,5,0,0,2,1
Empleado 1244,0.82,0.85,4,274,5,0,0,0,1
Empleado 1245,0.1,0.77,6,280,4,0,0,1,1
Empleado 1246,0.1,0.93,6,288,4,0,0,1,1
Empleado 1247,0.43,0.49,2,155,3,0,0,1,1
Empleado 1248,0.09,0.94,7,247,4,0,0,1,1
Empleado 1249,0.41,0.54,2,138,3,0,0,0,1
Empleado 1250,0.1,0.82,7,284,4,0,0,0,1
Empleado 1251,0.88,0.92,4,225,5,0,0,0,1
Empleado 1252,0.43,0.57,2,151,3,1,0,0,1
Empleado 1253,0.42,0.5,2,155,3,0,0,0,1
Empleado 1254,0.85,1,4,234,5,0,0,0,1
Empleado 1255,0.38,0.49,2,144,3,0,0,0,1
Empleado 1256,0.39,0.47,2,142,3,0,0,0,1
Empleado 1257,0.41,0.48,2,126,3,0,0,0,1
Empleado 1258,0.88,0.92,4,233,6,0,0,0,1
Empleado 1259,0.78,0.96,4,241,5,0,0,0,1
Empleado 1260,0.45,0.48,2,138,3,0,0,0,1
Empleado 1261,0.09,0.95,6,260,4,1,0,0,1
Empleado 1262,0.44,0.56,2,145,3,0,0,0,1
Empleado 1263,0.11,0.84,6,252,4,0,0,0,1
Empleado 1264,0.36,0.51,2,143,3,0,0,0,1
Empleado 1265,0.86,0.98,4,270,5,0,0,0,1
Empleado 1266,0.1,0.92,6,285,4,0,0,0,1
Empleado 1267,0.45,0.53,2,149,3,0,0,0,1
Empleado 1268,0.42,0.53,2,158,3,0,0,0,1
Empleado 1269,0.36,0.55,2,134,3,0,0,0,1
Empleado 1270,0.45,0.55,2,129,3,0,0,1,1
Empleado 1271,0.38,0.57,2,131,3,0,0,1,1
Empleado 1272,0.11,0.97,6,288,4,0,0,1,1
Empleado 1273,0.45,0.46,2,142,3,0,0,1,1
Empleado 1274,0.87,0.95,5,227,5,0,0,1,1
Empleado 1275,0.45,0.53,2,131,3,0,0,1,1
Empleado 1276,0.1,0.83,6,283,5,0,0,1,1
Empleado 1277,0.44,0.54,2,139,3,0,0,1,1
Empleado 1278,0.78,1,4,267,5,0,0,1,1
Empleado 1279,0.38,0.56,2,148,3,0,0,1,1
Empleado 1280,0.85,0.84,5,272,6,0,0,1,1
Empleado 1281,0.36,0.48,2,148,3,1,0,1,1
Empleado 1282,0.75,0.88,5,270,5,0,0,2,1
Empleado 1283,0.81,0.81,4,218,5,1,0,0,1
Empleado 1284,0.4,0.55,2,150,3,0,0,1,1
Empleado 1285,0.83,0.83,5,260,5,0,0,1,1
Empleado 1286,0.41,0.52,2,127,3,0,0,1,1
Empleado 1287,0.42,0.57,2,134,3,0,0,1,1
Empleado 1288,0.09,0.83,7,258,4,0,0,0,1
Empleado 1289,0.87,0.81,5,304,5,0,0,0,1
Empleado 1290,0.43,0.56,6,149,4,0,0,0,1
Empleado 1291,0.39,0.51,2,139,3,0,0,0,1
Empleado 1292,0.1,0.9,6,272,5,0,0,0,1
Empleado 1293,0.41,0.52,2,132,3,0,0,0,1
Empleado 1294,0.72,1,2,240,2,0,0,0,1
Empleado 1295,0.44,0.55,2,137,3,0,0,0,1
Empleado 1296,0.38,0.5,2,139,3,0,0,0,1
Empleado 1297,0.46,0.52,2,148,3,0,0,0,1
Empleado 1298,0.4,0.49,2,149,3,0,0,0,1
Empleado 1299,0.45,0.45,2,131,3,0,0,0,1
Empleado 1300,0.89,0.89,5,262,5,0,0,0,1
Empleado 1301,0.1,0.97,7,284,4,0,0,0,1
Empleado 1302,0.46,0.48,2,161,3,0,0,0,1
Empleado 1303,0.09,0.78,7,290,4,0,0,0,1
Empleado 1304,0.45,0.57,2,149,3,0,0,0,1
Empleado 1305,0.89,0.98,4,242,6,0,0,0,1
Empleado 1306,0.62,0.77,5,227,4,0,0,0,1
Empleado 1307,0.11,0.93,6,276,4,0,0,0,1
Empleado 1308,0.44,0.5,2,135,3,0,0,0,1
Empleado 1309,0.09,0.94,6,266,4,0,0,1,1
Empleado 1310,0.56,0.75,5,236,2,0,0,1,1
Empleado 1311,0.77,0.89,4,270,5,0,0,1,1
Empleado 1312,0.39,0.49,2,146,3,0,0,1,1
Empleado 1313,0.1,0.92,5,272,4,0,0,1,1
Empleado 1314,0.72,0.85,5,246,5,0,0,1,1
Empleado 1315,0.4,0.52,2,136,3,0,0,1,1
Empleado 1316,0.11,0.81,6,260,4,0,0,1,1
Empleado 1317,0.88,1,5,247,5,0,0,1,1
Empleado 1318,0.37,0.51,2,127,3,0,0,1,1
Empleado 1319,0.11,0.96,6,267,4,0,0,1,1
Empleado 1320,0.4,0.52,2,143,3,0,0,1,1
Empleado 1321,0.1,0.86,6,306,4,0,0,2,1
Empleado 1322,0.62,0.89,3,131,4,0,0,0,1
Empleado 1323,0.78,0.86,4,249,5,0,0,1,1
Empleado 1324,0.37,0.52,2,144,3,0,0,1,1
Empleado 1325,0.76,0.82,4,254,5,1,0,1,1
Empleado 1326,0.42,0.53,2,131,3,0,0,1,1
Empleado 1327,0.1,0.77,6,272,4,0,0,0,1
Empleado 1328,0.42,0.47,2,157,3,0,0,0,1
Empleado 1329,0.1,0.96,7,301,4,0,0,0,1
Empleado 1330,0.1,0.81,6,252,4,0,0,0,1
Empleado 1331,0.42,0.47,2,130,3,0,0,0,1
Empleado 1332,0.09,0.86,6,297,4,0,0,0,1
Empleado 1333,0.1,0.8,6,248,4,0,0,0,1
Empleado 1334,0.11,0.89,7,257,4,0,0,0,1
Empleado 1335,0.44,0.53,2,147,3,0,0,0,1
Empleado 1336,0.87,0.9,3,307,5,0,0,0,1
Empleado 1337,0.44,0.46,2,154,3,0,0,0,1
Empleado 1338,0.41,0.56,2,143,3,0,0,0,1
Empleado 1339,0.51,0.79,4,134,3,0,0,0,1
Empleado 1340,0.89,0.96,5,221,5,0,0,0,1
Empleado 1341,0.1,0.96,6,275,4,0,0,0,1
Empleado 1342,0.9,0.94,5,247,5,0,0,0,1
Empleado 1343,0.36,0.55,2,131,3,0,0,0,1
Empleado 1344,0.44,0.54,2,150,3,0,0,0,1
Empleado 1345,0.39,0.57,2,150,3,0,0,0,1
Empleado 1346,0.38,1,5,137,4,0,0,0,1
Empleado 1347,0.73,0.95,4,223,6,0,0,0,1
Empleado 1348,0.1,0.96,6,292,4,0,0,1,1
Empleado 1349,0.89,0.83,5,130,4,1,0,1,1
Empleado 1350,0.87,0.85,5,221,6,0,0,1,1
Empleado 1351,0.84,0.89,4,245,5,1,0,1,1
Empleado 1352,0.11,0.77,6,274,4,0,0,1,1
Empleado 1353,0.74,1,5,248,5,0,0,1,1
Empleado 1354,0.79,0.97,4,243,5,0,0,1,1
Empleado 1355,0.1,0.92,7,273,4,0,0,1,1
Empleado 1356,0.83,0.95,5,221,5,0,0,1,1
Empleado 1357,0.1,0.79,6,271,4,0,0,1,1
Empleado 1358,0.45,0.5,2,157,3,0,0,1,1
Empleado 1359,0.29,0.48,2,249,4,0,0,1,1
Empleado 1360,0.46,0.46,2,145,3,0,0,2,1
Empleado 1361,0.11,0.83,6,262,5,0,0,0,1
Empleado 1362,0.75,0.89,5,272,5,0,0,1,1
Empleado 1363,0.4,0.5,2,129,3,0,0,1,1
Empleado 1364,0.37,0.46,2,134,3,0,0,1,1
Empleado 1365,0.41,0.52,2,147,3,0,0,1,1
Empleado 1366,0.1,0.83,6,293,4,0,0,0,1
Empleado 1367,0.39,0.52,2,129,3,0,0,0,1
Empleado 1368,0.4,0.45,2,140,3,0,0,0,1
Empleado 1369,0.41,0.52,2,132,3,0,0,0,1
Empleado 1370,0.11,0.89,6,284,4,0,0,0,1
Empleado 1371,0.74,0.99,5,263,5,0,0,0,1
Empleado 1372,0.42,0.46,2,143,3,0,0,0,1
Empleado 1373,0.88,0.88,4,265,5,0,0,0,1
Empleado 1374,0.37,0.53,2,147,3,0,0,0,1
Empleado 1375,0.78,0.81,4,253,5,0,0,0,1
Empleado 1376,0.46,0.5,2,141,3,0,0,0,1
Empleado 1377,0.74,1,5,222,6,0,0,0,1
Empleado 1378,0.11,0.86,6,273,4,1,0,0,1
Empleado 1379,0.8,0.87,5,240,6,0,0,0,1
Empleado 1380,0.37,0.48,2,154,3,0,0,0,1
Empleado 1381,0.87,0.92,4,253,6,0,0,0,1
Empleado 1382,0.9,0.84,5,221,5,0,0,0,1
Empleado 1383,0.1,0.88,6,263,4,0,0,0,1
Empleado 1384,0.43,0.46,2,145,3,0,0,0,1
Empleado 1385,0.11,0.91,6,279,4,0,0,0,1
Empleado 1386,0.4,0.46,2,146,3,0,0,0,1
Empleado 1387,0.09,0.93,7,270,4,0,0,1,1
Empleado 1388,0.4,0.5,2,135,3,0,0,1,1
Empleado 1389,0.14,0.7,5,236,3,0,0,1,1
Empleado 1390,0.4,0.49,2,151,3,0,0,1,1
Empleado 1391,0.11,0.79,6,244,4,1,0,1,1
Empleado 1392,0.72,1,4,169,3,0,0,1,1
Empleado 1393,0.39,0.57,2,157,3,0,0,1,1
Empleado 1394,0.82,0.93,4,246,5,0,0,1,1
Empleado 1395,0.41,0.52,2,142,3,0,0,1,1
Empleado 1396,0.45,0.51,2,156,3,0,0,1,1
Empleado 1397,0.2,0.7,6,281,5,0,0,1,1
Empleado 1398,0.43,0.53,2,146,3,0,0,1,1
Empleado 1399,0.39,0.55,2,156,3,0,0,2,1
Empleado 1400,0.11,0.86,6,299,4,1,0,0,1
Empleado 1401,0.45,0.47,2,136,3,0,0,1,1
Empleado 1402,0.11,0.87,6,272,4,0,0,1,1
Empleado 1403,0.84,0.86,5,240,5,0,0,1,1
Empleado 1404,0.86,0.96,5,245,6,0,0,1,1
Empleado 1405,0.79,0.93,5,269,5,0,0,0,1
Empleado 1406,0.39,0.57,2,130,3,0,0,0,1
Empleado 1407,0.15,0.62,4,257,3,0,0,0,1
Empleado 1408,0.81,1,4,241,5,0,0,0,1
Empleado 1409,0.39,0.53,2,136,3,0,0,0,1
Empleado 1410,0.92,0.94,4,219,5,0,0,0,1
Empleado 1411,0.9,0.98,5,271,5,0,0,0,1
Empleado 1412,0.32,0.6,2,280,4,0,0,0,1
Empleado 1413,0.46,0.46,2,140,3,0,0,0,1
Empleado 1414,0.83,0.98,4,254,5,0,0,0,1
Empleado 1415,0.39,0.47,2,131,3,0,0,0,1
Empleado 1416,0.2,0.9,6,138,3,0,0,0,1
Empleado 1417,0.11,0.85,6,295,4,0,0,0,1
Empleado 1418,0.11,0.96,6,301,5,0,0,0,1
Empleado 1419,0.1,0.95,7,296,4,0,0,0,1
