Nombres,nivel_satisfaccion,ultima_evaluacion,numero_proyectos,tiempo_empresa,"accidente_trabajo (0 No, 1 Si)","promocion_ultimos_5 (0 Si, 1 No)","salario (0 Bajo, 1 Medio, 2 2)",prom_horas_mes
Empleado 1027,0.46,0.53,2,3,0,0,0,129
Empleado 1028,0.09,0.9,6,4,0,0,0,287
Empleado 1029,0.88,0.89,4,5,0,0,0,275
Empleado 1030,0.1,0.82,6,4,0,0,0,272
Empleado 1031,0.1,0.97,6,4,0,0,0,307
Empleado 1032,0.11,0.93,4,3,0,0,0,295
Empleado 1033,0.84,0.88,5,5,0,0,0,237
Empleado 1034,0.42,0.56,2,3,0,0,0,158
Empleado 1035,0.1,0.86,6,4,1,0,0,266
Empleado 1036,0.1,0.95,6,4,0,0,1,256
Empleado 1037,0.46,0.54,2,3,0,0,1,158
Empleado 1038,0.09,0.97,7,4,0,0,1,268
Empleado 1039,0.89,1,4,5,0,0,1,237
Empleado 1040,0.82,1,4,6,0,0,1,273
Empleado 1041,0.11,0.89,6,4,0,0,1,309
Empleado 1042,0.81,0.84,5,5,0,0,1,258
Empleado 1043,0.81,0.94,5,6,0,0,1,233
Empleado 1044,0.77,1,4,6,0,0,1,249
Empleado 1045,0.63,0.94,3,2,0,0,1,179
Empleado 1046,0.4,0.57,2,3,0,0,1,128
Empleado 1047,0.86,1,4,6,0,0,1,250
Empleado 1048,0.37,0.49,2,3,0,0,2,151
Empleado 1049,0.44,0.5,2,3,0,0,0,132
Empleado 1050,0.74,0.89,5,6,0,0,1,232
Empleado 1051,0.79,1,4,5,1,0,1,229
Empleado 1052,0.09,0.92,6,4,0,0,1,261
Empleado 1053,0.37,0.48,2,3,0,0,1,129
Empleado 1054,0.09,0.78,6,4,0,0,0,244
Empleado 1055,0.09,0.84,6,4,0,0,0,258
Empleado 1056,0.1,0.8,7,5,0,0,0,292
Empleado 1057,0.45,0.56,2,3,0,0,0,143
Empleado 1058,0.4,0.51,2,3,0,0,0,136
Empleado 1059,0.31,0.95,6,5,0,0,0,235
Empleado 1060,0.7,0.93,2,3,0,0,0,310
Empleado 1061,0.36,0.48,2,3,0,0,0,152
Empleado 1062,0.34,0.97,6,5,1,0,0,157
Empleado 1063,0.87,0.83,5,5,0,0,0,267
Empleado 1064,0.11,0.91,6,4,0,0,0,302
Empleado 1065,0.47,0.81,4,3,0,0,0,133
Empleado 1066,0.43,0.52,2,3,0,0,0,142
Empleado 1067,0.43,0.47,2,3,0,0,0,129
Empleado 1068,0.45,0.57,2,3,0,0,0,136
Empleado 1069,0.74,1,5,5,0,0,0,223
Empleado 1070,0.1,0.89,6,4,1,0,0,244
Empleado 1071,0.78,0.87,5,5,0,0,0,243
Empleado 1072,0.9,0.95,5,3,0,0,0,275
Empleado 1073,0.53,0.95,6,4,0,0,0,205
Empleado 1074,0.45,0.54,2,3,0,0,0,154
Empleado 1075,0.86,0.83,4,5,0,0,1,270
Empleado 1076,0.74,0.89,4,5,0,0,1,267
Empleado 1077,0.09,0.79,6,4,0,0,1,276
Empleado 1078,0.8,0.95,5,5,0,0,1,244
Empleado 1079,0.46,0.53,2,3,0,0,1,128
Empleado 1080,0.86,0.95,5,6,0,0,1,269
Empleado 1081,0.86,0.95,4,5,0,0,1,238
Empleado 1082,0.9,0.91,4,5,0,0,1,269
Empleado 1083,0.87,0.88,5,6,0,0,1,231
Empleado 1084,0.83,0.94,4,5,0,0,1,267
Empleado 1085,0.77,0.83,4,5,0,0,1,245
Empleado 1086,0.77,1,4,5,0,0,1,272
Empleado 1087,0.9,0.86,5,5,0,0,2,254
Empleado 1088,0.73,0.92,4,5,0,0,0,273
Empleado 1089,0.91,0.9,4,5,0,0,1,250
Empleado 1090,0.36,0.53,2,3,0,0,1,133
Empleado 1091,0.38,0.54,2,3,0,0,1,150
Empleado 1092,0.44,0.46,2,3,0,0,1,157
Empleado 1093,0.73,1,5,5,0,0,0,230
Empleado 1094,0.89,0.91,5,5,0,0,0,260
Empleado 1095,0.11,0.77,6,4,0,0,0,275
Empleado 1096,0.1,0.77,7,4,0,0,0,308
Empleado 1097,0.37,0.46,2,3,0,0,0,129
Empleado 1098,0.38,0.48,2,3,0,0,0,134
Empleado 1099,0.42,0.48,2,3,0,0,0,132
Empleado 1100,0.44,0.46,2,3,0,0,0,153
Empleado 1101,0.11,0.83,6,4,0,0,0,262
Empleado 1102,0.09,0.97,7,4,0,0,0,262
Empleado 1103,0.43,0.47,2,3,0,0,0,130
Empleado 1104,0.38,0.52,2,3,0,0,0,156
Empleado 1105,0.11,0.89,6,4,0,0,0,254
Empleado 1106,0.37,0.49,2,3,0,0,0,130
Empleado 1107,0.44,0.57,2,3,0,0,0,139
Empleado 1108,0.72,0.82,5,5,0,0,0,269
Empleado 1109,0.1,0.91,7,4,0,0,0,297
Empleado 1110,0.73,0.86,5,5,0,0,0,249
Empleado 1111,0.09,0.82,7,4,0,0,0,267
Empleado 1112,0.44,0.46,2,3,0,0,0,149
Empleado 1113,0.09,0.82,6,4,0,0,0,251
Empleado 1114,0.1,0.87,6,4,0,0,1,306
Empleado 1115,0.11,0.86,6,4,0,0,1,279
Empleado 1116,0.42,0.46,2,3,0,0,1,131
Empleado 1117,0.09,0.85,6,4,0,0,1,260
Empleado 1118,0.72,0.88,5,5,0,0,1,249
Empleado 1119,0.75,0.97,4,5,0,0,1,245
Empleado 1120,0.44,0.5,2,3,0,0,1,138
Empleado 1121,0.11,0.91,6,4,0,0,1,278
Empleado 1122,0.38,0.47,2,3,0,0,1,147
Empleado 1123,0.39,0.57,2,3,0,0,1,131
Empleado 1124,0.1,0.9,7,4,0,0,1,301
Empleado 1125,0.43,0.52,2,3,0,0,1,141
Empleado 1126,0.39,0.57,2,3,0,0,2,158
Empleado 1127,0.88,0.87,4,6,0,0,0,235
Empleado 1128,0.1,0.85,7,4,0,0,1,261
Empleado 1129,0.1,0.89,5,4,0,0,1,270
Empleado 1130,0.11,0.93,6,4,0,0,1,290
Empleado 1131,0.37,0.47,2,3,0,0,1,149
Empleado 1132,0.37,0.48,2,3,0,0,0,160
Empleado 1133,0.77,0.87,4,4,0,0,0,150
Empleado 1134,0.91,0.94,5,6,0,0,0,218
Empleado 1135,0.46,0.51,2,3,0,0,0,155
Empleado 1136,0.11,0.87,6,4,0,0,0,291
Empleado 1137,0.86,0.91,5,5,0,0,0,265
Empleado 1138,0.87,0.88,5,6,0,0,0,262
Empleado 1139,0.09,0.92,6,5,0,0,0,303
Empleado 1140,0.42,0.46,2,3,0,0,0,132
Empleado 1141,0.82,0.83,4,5,1,0,0,245
Empleado 1142,0.46,0.48,2,3,0,0,0,129
Empleado 1143,0.88,1,5,6,0,0,0,226
Empleado 1144,0.1,0.91,6,4,0,0,0,286
Empleado 1145,0.43,0.45,2,3,0,0,0,140
Empleado 1146,0.37,0.49,2,3,0,0,0,153
Empleado 1147,0.8,0.95,5,5,0,0,0,217
Empleado 1148,0.83,0.95,5,5,0,0,0,258
Empleado 1149,0.39,0.57,2,3,0,0,0,156
Empleado 1150,0.77,0.92,5,5,0,0,0,255
Empleado 1151,0.43,0.46,2,3,0,0,0,129
Empleado 1152,0.79,0.96,4,5,0,0,0,234
Empleado 1153,0.39,0.55,2,3,1,0,1,152
Empleado 1154,0.1,0.88,7,4,0,0,1,300
Empleado 1155,0.39,0.53,2,3,0,0,1,131
Empleado 1156,0.11,0.89,6,4,0,0,1,301
Empleado 1157,0.4,0.51,2,3,0,0,1,156
Empleado 1158,0.42,0.52,2,3,1,0,1,141
Empleado 1159,0.57,0.85,4,2,1,0,1,219
Empleado 1160,0.11,0.95,7,5,0,0,1,269
Empleado 1161,0.36,0.73,4,2,0,0,1,276
Empleado 1162,0.11,0.94,7,4,0,0,1,302
Empleado 1163,0.35,0.8,6,2,0,0,1,281
Empleado 1164,0.78,0.99,5,5,0,0,1,241
Empleado 1165,0.11,0.93,7,4,0,0,2,288
Empleado 1166,0.1,0.96,6,4,0,0,0,303
Empleado 1167,0.42,0.54,2,3,0,0,1,135
Empleado 1168,0.43,0.5,2,3,1,0,1,127
Empleado 1169,0.79,0.84,5,5,0,0,1,245
Empleado 1170,0.45,0.45,2,3,0,0,1,145
Empleado 1171,0.09,0.91,6,4,0,0,0,248
Empleado 1172,0.11,0.91,6,4,0,0,0,302
Empleado 1173,0.45,0.49,2,3,0,0,0,144
Empleado 1174,0.11,0.91,6,4,0,0,0,272
Empleado 1175,0.09,0.8,6,4,0,0,0,294
Empleado 1176,0.78,0.71,4,3,0,0,0,296
Empleado 1177,0.38,0.5,2,3,1,0,0,151
Empleado 1178,0.82,0.82,4,5,0,0,0,249
Empleado 1179,0.85,0.89,4,5,0,0,0,221
Empleado 1180,0.45,0.46,2,3,0,0,0,146
Empleado 1181,0.77,0.89,5,5,0,0,0,243
Empleado 1182,0.39,0.5,2,3,0,0,0,127
Empleado 1183,0.91,0.9,4,5,0,0,0,245
Empleado 1184,0.11,0.77,6,4,0,0,0,264
Empleado 1185,0.46,0.45,2,3,0,0,0,143
Empleado 1186,0.43,0.49,2,3,0,0,0,135
Empleado 1187,0.11,0.96,6,4,1,0,0,262
Empleado 1188,0.1,0.93,6,4,0,0,0,299
Empleado 1189,0.09,0.8,5,4,0,0,0,279
Empleado 1190,0.36,0.51,2,3,0,0,0,155
Empleado 1191,0.11,0.89,6,4,0,0,0,264
Empleado 1192,0.09,0.77,6,5,0,0,1,256
Empleado 1193,0.44,0.51,2,3,0,0,1,129
Empleado 1194,0.73,0.97,5,6,0,0,1,217
Empleado 1195,0.21,0.58,7,5,0,0,1,203
Empleado 1196,0.8,0.85,4,5,0,0,1,264
Empleado 1197,0.37,0.55,2,3,0,0,1,159
Empleado 1198,0.79,0.96,5,5,0,0,1,218
Empleado 1199,0.09,0.8,6,4,0,0,1,298
Empleado 1200,0.75,0.74,6,3,0,0,1,134
Empleado 1201,0.83,1,5,5,0,0,1,263
Empleado 1202,0.1,0.77,5,4,0,0,1,252
Empleado 1203,0.44,0.55,2,3,0,0,1,136
Empleado 1204,0.42,0.97,6,4,0,0,2,259
Empleado 1205,0.43,0.56,2,3,0,0,0,158
Empleado 1206,0.09,0.84,7,4,0,0,1,307
Empleado 1207,0.44,0.53,2,3,0,0,1,152
Empleado 1208,0.81,0.98,5,5,0,0,1,237
Empleado 1209,0.1,0.79,7,4,0,0,1,284
Empleado 1210,0.1,0.93,6,4,0,0,0,243
Empleado 1211,0.11,0.83,6,4,0,0,0,268
Empleado 1212,0.09,0.77,6,4,0,0,0,244
Empleado 1213,0.75,0.83,5,5,0,0,0,262
Empleado 1214,0.38,0.55,2,3,0,0,0,134
Empleado 1215,0.09,0.87,7,4,0,0,0,278
Empleado 1216,0.74,0.97,5,5,0,0,0,238
Empleado 1217,0.44,0.56,2,3,0,0,0,127
Empleado 1218,0.76,0.95,4,5,0,0,0,259
Empleado 1219,0.42,0.56,2,3,0,0,0,146
Empleado 1220,0.75,1,4,5,0,0,0,243
Empleado 1221,0.36,0.52,2,3,0,0,0,137
Empleado 1222,0.75,0.93,5,5,0,0,0,229
Empleado 1223,0.4,0.46,2,3,0,0,0,134
Empleado 1224,0.75,0.89,4,5,0,0,0,228
Empleado 1225,0.09,0.84,6,4,0,0,0,301
Empleado 1226,0.39,0.46,2,3,0,0,0,127
Empleado 1227,0.4,0.48,2,3,0,0,0,142
Empleado 1228,0.39,0.54,2,3,0,0,0,131
Empleado 1229,0.1,0.85,7,5,0,0,0,310
Empleado 1230,0.42,0.55,2,3,0,0,0,148
Empleado 1231,0.37,0.52,2,3,0,0,1,143
Empleado 1232,0.11,0.98,6,4,0,0,1,250
Empleado 1233,0.09,0.88,7,4,0,0,1,265
Empleado 1234,0.41,0.54,2,3,0,0,1,152
Empleado 1235,0.42,0.49,2,3,0,0,1,145
Empleado 1236,0.4,0.49,2,3,0,0,1,140
Empleado 1237,0.36,0.47,2,3,0,0,1,129
Empleado 1238,0.74,0.9,4,5,0,0,1,226
Empleado 1239,0.66,1,5,5,0,0,1,269
Empleado 1240,0.38,0.47,2,3,0,0,1,152
Empleado 1241,0.43,0.51,2,3,0,0,1,132
Empleado 1242,0.43,0.53,2,3,0,0,1,148
Empleado 1243,0.1,0.85,6,5,0,0,2,297
Empleado 1244,0.82,0.85,4,5,0,0,0,274
Empleado 1245,0.1,0.77,6,4,0,0,1,280
Empleado 1246,0.1,0.93,6,4,0,0,1,288
Empleado 1247,0.43,0.49,2,3,0,0,1,155
Empleado 1248,0.09,0.94,7,4,0,0,1,247
Empleado 1249,0.41,0.54,2,3,0,0,0,138
Empleado 1250,0.1,0.82,7,4,0,0,0,284
Empleado 1251,0.88,0.92,4,5,0,0,0,225
Empleado 1252,0.43,0.57,2,3,1,0,0,151
Empleado 1253,0.42,0.5,2,3,0,0,0,155
Empleado 1254,0.85,1,4,5,0,0,0,234
Empleado 1255,0.38,0.49,2,3,0,0,0,144
Empleado 1256,0.39,0.47,2,3,0,0,0,142
Empleado 1257,0.41,0.48,2,3,0,0,0,126
Empleado 1258,0.88,0.92,4,6,0,0,0,233
Empleado 1259,0.78,0.96,4,5,0,0,0,241
Empleado 1260,0.45,0.48,2,3,0,0,0,138
Empleado 1261,0.09,0.95,6,4,1,0,0,260
Empleado 1262,0.44,0.56,2,3,0,0,0,145
Empleado 1263,0.11,0.84,6,4,0,0,0,252
Empleado 1264,0.36,0.51,2,3,0,0,0,143
Empleado 1265,0.86,0.98,4,5,0,0,0,270
Empleado 1266,0.1,0.92,6,4,0,0,0,285
Empleado 1267,0.45,0.53,2,3,0,0,0,149
Empleado 1268,0.42,0.53,2,3,0,0,0,158
Empleado 1269,0.36,0.55,2,3,0,0,0,134
Empleado 1270,0.45,0.55,2,3,0,0,1,129
Empleado 1271,0.38,0.57,2,3,0,0,1,131
Empleado 1272,0.11,0.97,6,4,0,0,1,288
Empleado 1273,0.45,0.46,2,3,0,0,1,142
Empleado 1274,0.87,0.95,5,5,0,0,1,227
Empleado 1275,0.45,0.53,2,3,0,0,1,131
Empleado 1276,0.1,0.83,6,5,0,0,1,283
Empleado 1277,0.44,0.54,2,3,0,0,1,139
Empleado 1278,0.78,1,4,5,0,0,1,267
Empleado 1279,0.38,0.56,2,3,0,0,1,148
Empleado 1280,0.85,0.84,5,6,0,0,1,272
Empleado 1281,0.36,0.48,2,3,1,0,1,148
Empleado 1282,0.75,0.88,5,5,0,0,2,270
Empleado 1283,0.81,0.81,4,5,1,0,0,218
Empleado 1284,0.4,0.55,2,3,0,0,1,150
Empleado 1285,0.83,0.83,5,5,0,0,1,260
Empleado 1286,0.41,0.52,2,3,0,0,1,127
Empleado 1287,0.42,0.57,2,3,0,0,1,134
Empleado 1288,0.09,0.83,7,4,0,0,0,258
Empleado 1289,0.87,0.81,5,5,0,0,0,304
Empleado 1290,0.43,0.56,6,4,0,0,0,149
Empleado 1291,0.39,0.51,2,3,0,0,0,139
Empleado 1292,0.1,0.9,6,5,0,0,0,272
Empleado 1293,0.41,0.52,2,3,0,0,0,132
Empleado 1294,0.72,1,2,2,0,0,0,240
Empleado 1295,0.44,0.55,2,3,0,0,0,137
Empleado 1296,0.38,0.5,2,3,0,0,0,139
Empleado 1297,0.46,0.52,2,3,0,0,0,148
Empleado 1298,0.4,0.49,2,3,0,0,0,149
Empleado 1299,0.45,0.45,2,3,0,0,0,131
Empleado 1300,0.89,0.89,5,5,0,0,0,262
Empleado 1301,0.1,0.97,7,4,0,0,0,284
Empleado 1302,0.46,0.48,2,3,0,0,0,161
Empleado 1303,0.09,0.78,7,4,0,0,0,290
Empleado 1304,0.45,0.57,2,3,0,0,0,149
Empleado 1305,0.89,0.98,4,6,0,0,0,242
Empleado 1306,0.62,0.77,5,4,0,0,0,227
Empleado 1307,0.11,0.93,6,4,0,0,0,276
Empleado 1308,0.44,0.5,2,3,0,0,0,135
Empleado 1309,0.09,0.94,6,4,0,0,1,266
Empleado 1310,0.56,0.75,5,2,0,0,1,236
Empleado 1311,0.77,0.89,4,5,0,0,1,270
Empleado 1312,0.39,0.49,2,3,0,0,1,146
Empleado 1313,0.1,0.92,5,4,0,0,1,272
Empleado 1314,0.72,0.85,5,5,0,0,1,246
Empleado 1315,0.4,0.52,2,3,0,0,1,136
Empleado 1316,0.11,0.81,6,4,0,0,1,260
Empleado 1317,0.88,1,5,5,0,0,1,247
Empleado 1318,0.37,0.51,2,3,0,0,1,127
Empleado 1319,0.11,0.96,6,4,0,0,1,267
Empleado 1320,0.4,0.52,2,3,0,0,1,143
Empleado 1321,0.1,0.86,6,4,0,0,2,306
Empleado 1322,0.62,0.89,3,4,0,0,0,131
Empleado 1323,0.78,0.86,4,5,0,0,1,249
Empleado 1324,0.37,0.52,2,3,0,0,1,144
Empleado 1325,0.76,0.82,4,5,1,0,1,254
Empleado 1326,0.42,0.53,2,3,0,0,1,131
Empleado 1327,0.1,0.77,6,4,0,0,0,272
Empleado 1328,0.42,0.47,2,3,0,0,0,157
Empleado 1329,0.1,0.96,7,4,0,0,0,301
Empleado 1330,0.1,0.81,6,4,0,0,0,252
Empleado 1331,0.42,0.47,2,3,0,0,0,130
Empleado 1332,0.09,0.86,6,4,0,0,0,297
Empleado 1333,0.1,0.8,6,4,0,0,0,248
Empleado 1334,0.11,0.89,7,4,0,0,0,257
Empleado 1335,0.44,0.53,2,3,0,0,0,147
Empleado 1336,0.87,0.9,3,5,0,0,0,307
Empleado 1337,0.44,0.46,2,3,0,0,0,154
Empleado 1338,0.41,0.56,2,3,0,0,0,143
Empleado 1339,0.51,0.79,4,3,0,0,0,134
Empleado 1340,0.89,0.96,5,5,0,0,0,221
Empleado 1341,0.1,0.96,6,4,0,0,0,275
Empleado 1342,0.9,0.94,5,5,0,0,0,247
Empleado 1343,0.36,0.55,2,3,0,0,0,131
Empleado 1344,0.44,0.54,2,3,0,0,0,150
Empleado 1345,0.39,0.57,2,3,0,0,0,150
Empleado 1346,0.38,1,5,4,0,0,0,137
Empleado 1347,0.73,0.95,4,6,0,0,0,223
Empleado 1348,0.1,0.96,6,4,0,0,1,292
Empleado 1349,0.89,0.83,5,4,1,0,1,130
Empleado 1350,0.87,0.85,5,6,0,0,1,221
Empleado 1351,0.84,0.89,4,5,1,0,1,245
Empleado 1352,0.11,0.77,6,4,0,0,1,274
Empleado 1353,0.74,1,5,5,0,0,1,248
Empleado 1354,0.79,0.97,4,5,0,0,1,243
Empleado 1355,0.1,0.92,7,4,0,0,1,273
Empleado 1356,0.83,0.95,5,5,0,0,1,221
Empleado 1357,0.1,0.79,6,4,0,0,1,271
Empleado 1358,0.45,0.5,2,3,0,0,1,157
Empleado 1359,0.29,0.48,2,4,0,0,1,249
Empleado 1360,0.46,0.46,2,3,0,0,2,145
Empleado 1361,0.11,0.83,6,5,0,0,0,262
Empleado 1362,0.75,0.89,5,5,0,0,1,272
Empleado 1363,0.4,0.5,2,3,0,0,1,129
Empleado 1364,0.37,0.46,2,3,0,0,1,134
Empleado 1365,0.41,0.52,2,3,0,0,1,147
Empleado 1366,0.1,0.83,6,4,0,0,0,293
Empleado 1367,0.39,0.52,2,3,0,0,0,129
Empleado 1368,0.4,0.45,2,3,0,0,0,140
Empleado 1369,0.41,0.52,2,3,0,0,0,132
Empleado 1370,0.11,0.89,6,4,0,0,0,284
Empleado 1371,0.74,0.99,5,5,0,0,0,263
Empleado 1372,0.42,0.46,2,3,0,0,0,143
Empleado 1373,0.88,0.88,4,5,0,0,0,265
Empleado 1374,0.37,0.53,2,3,0,0,0,147
Empleado 1375,0.78,0.81,4,5,0,0,0,253
Empleado 1376,0.46,0.5,2,3,0,0,0,141
Empleado 1377,0.74,1,5,6,0,0,0,222
Empleado 1378,0.11,0.86,6,4,1,0,0,273
Empleado 1379,0.8,0.87,5,6,0,0,0,240
Empleado 1380,0.37,0.48,2,3,0,0,0,154
Empleado 1381,0.87,0.92,4,6,0,0,0,253
Empleado 1382,0.9,0.84,5,5,0,0,0,221
Empleado 1383,0.1,0.88,6,4,0,0,0,263
Empleado 1384,0.43,0.46,2,3,0,0,0,145
Empleado 1385,0.11,0.91,6,4,0,0,0,279
Empleado 1386,0.4,0.46,2,3,0,0,0,146
Empleado 1387,0.09,0.93,7,4,0,0,1,270
Empleado 1388,0.4,0.5,2,3,0,0,1,135
Empleado 1389,0.14,0.7,5,3,0,0,1,236
Empleado 1390,0.4,0.49,2,3,0,0,1,151
Empleado 1391,0.11,0.79,6,4,1,0,1,244
Empleado 1392,0.72,1,4,3,0,0,1,169
Empleado 1393,0.39,0.57,2,3,0,0,1,157
Empleado 1394,0.82,0.93,4,5,0,0,1,246
Empleado 1395,0.41,0.52,2,3,0,0,1,142
Empleado 1396,0.45,0.51,2,3,0,0,1,156
Empleado 1397,0.2,0.7,6,5,0,0,1,281
Empleado 1398,0.43,0.53,2,3,0,0,1,146
Empleado 1399,0.39,0.55,2,3,0,0,2,156
Empleado 1400,0.11,0.86,6,4,1,0,0,299
Empleado 1401,0.45,0.47,2,3,0,0,1,136
Empleado 1402,0.11,0.87,6,4,0,0,1,272
Empleado 1403,0.84,0.86,5,5,0,0,1,240
Empleado 1404,0.86,0.96,5,6,0,0,1,245
Empleado 1405,0.79,0.93,5,5,0,0,0,269
Empleado 1406,0.39,0.57,2,3,0,0,0,130
Empleado 1407,0.15,0.62,4,3,0,0,0,257
Empleado 1408,0.81,1,4,5,0,0,0,241
Empleado 1409,0.39,0.53,2,3,0,0,0,136
Empleado 1410,0.92,0.94,4,5,0,0,0,219
Empleado 1411,0.9,0.98,5,5,0,0,0,271
Empleado 1412,0.32,0.6,2,4,0,0,0,280
Empleado 1413,0.46,0.46,2,3,0,0,0,140
Empleado 1414,0.83,0.98,4,5,0,0,0,254
Empleado 1415,0.39,0.47,2,3,0,0,0,131
Empleado 1416,0.2,0.9,6,3,0,0,0,138
Empleado 1417,0.11,0.85,6,4,0,0,0,295
Empleado 1418,0.11,0.96,6,5,0,0,0,301
Empleado 1419,0.1,0.95,7,4,0,0,0,296
Empleado 1420,0.75,0.87,5,5,0,0,0,246
Empleado 1421,0.44,0.57,2,3,0,0,0,145
Empleado 1422,0.86,0.93,5,5,1,0,0,241
Empleado 1423,0.1,0.82,6,4,0,0,0,269
Empleado 1424,0.39,0.49,2,3,0,0,0,146
Empleado 1425,0.45,0.48,2,3,0,0,0,149
Empleado 1426,0.1,0.94,7,4,0,0,1,287
Empleado 1427,0.36,0.55,2,3,0,0,1,138
Empleado 1428,0.57,0.61,4,5,0,0,1,158
Empleado 1429,0.09,0.87,6,4,0,0,1,266
Empleado 1430,0.87,0.91,4,5,0,0,1,255
Empleado 1431,0.43,0.52,2,3,0,0,1,156
Empleado 1432,0.36,0.5,2,3,0,0,1,147
Empleado 1433,0.91,0.99,5,5,1,0,1,265
Empleado 1434,0.41,0.48,2,3,0,0,1,136
Empleado 1435,0.37,0.52,2,3,0,0,1,140
Empleado 1436,0.43,0.45,2,3,0,0,1,146
Empleado 1437,0.43,0.57,2,3,0,0,1,142
Empleado 1438,0.4,0.53,2,3,0,0,2,155
Empleado 1439,0.1,0.89,7,4,0,0,0,285
Empleado 1440,0.76,0.99,4,5,1,0,1,253
Empleado 1441,0.82,0.93,4,5,0,0,1,248
Empleado 1442,0.11,0.83,7,5,0,0,1,255
Empleado 1443,0.43,0.52,2,3,1,0,1,154
Empleado 1444,0.11,0.88,7,4,0,0,0,305
Empleado 1445,0.41,0.48,2,3,0,0,0,141
Empleado 1446,0.73,0.87,5,5,0,0,0,252
Empleado 1447,0.37,0.57,2,3,0,0,0,157
Empleado 1448,0.11,0.89,6,4,0,0,0,250
Empleado 1449,0.46,0.52,2,3,0,0,0,131
Empleado 1450,0.41,0.5,2,3,0,0,0,149
Empleado 1451,0.78,0.78,4,5,0,0,0,260
Empleado 1452,0.78,0.86,5,6,0,0,0,260
Empleado 1453,0.72,0.86,5,5,0,0,0,251
Empleado 1454,0.63,0.83,6,5,0,0,0,242
Empleado 1455,0.55,1,6,3,0,0,0,136
Empleado 1456,0.45,0.55,2,3,0,0,0,155
Empleado 1457,0.39,0.51,2,3,0,0,0,155
Empleado 1458,0.1,0.81,6,4,0,0,0,248
Empleado 1459,0.4,0.5,2,3,0,0,0,136
Empleado 1460,0.39,0.54,2,3,0,0,0,133
Empleado 1461,0.78,0.45,4,2,0,0,0,128
Empleado 1462,0.42,0.53,2,3,0,0,0,142
Empleado 1463,0.39,0.54,2,3,0,0,0,149
Empleado 1464,0.46,0.57,2,3,0,0,0,145
Empleado 1465,0.1,0.92,6,4,0,0,1,279
Empleado 1466,0.45,0.47,2,3,0,0,1,146
Empleado 1467,0.1,0.83,6,4,1,0,1,264
Empleado 1468,0.1,0.89,7,4,0,0,1,272
Empleado 1469,0.78,0.86,5,5,0,0,1,256
Empleado 1470,0.4,0.65,2,5,0,0,1,296
Empleado 1471,0.45,0.51,2,3,1,0,1,155
Empleado 1472,0.39,0.56,2,3,0,0,1,130
Empleado 1473,0.43,0.48,2,3,0,0,1,157
Empleado 1474,0.09,0.96,6,4,0,0,1,245
Empleado 1475,0.79,0.86,5,5,0,0,1,226
Empleado 1476,0.44,0.47,2,3,1,0,1,156
Empleado 1477,0.79,0.95,5,5,0,0,2,228
Empleado 1478,0.38,0.46,2,3,0,0,0,155
Empleado 1479,0.36,0.56,2,3,0,0,1,159
Empleado 1480,0.39,0.57,2,3,0,0,1,142
Empleado 1481,0.09,0.93,6,4,0,0,1,271
Empleado 1482,0.16,0.65,4,5,0,0,1,277
Empleado 1483,0.09,0.77,6,4,0,0,0,310
Empleado 1484,0.11,0.87,6,4,0,0,0,254
Empleado 1485,0.44,0.56,2,3,0,0,0,142
Empleado 1486,0.11,0.88,7,4,0,0,0,253
Empleado 1487,0.11,0.97,6,4,0,0,0,260
Empleado 1488,0.45,0.52,2,3,0,0,0,147
Empleado 1489,0.1,0.96,7,4,0,0,0,288
Empleado 1490,0.4,0.46,2,3,0,0,0,160
Empleado 1491,0.38,0.55,2,3,0,0,0,130
Empleado 1492,0.39,0.56,2,3,0,0,0,133
Empleado 1493,0.38,0.55,2,3,0,0,0,160
Empleado 1494,0.38,0.45,2,3,0,0,0,151
Empleado 1495,0.17,0.75,3,4,0,0,0,188
Empleado 1496,0.79,0.84,5,5,0,0,0,247
Empleado 1497,0.1,0.85,7,4,0,0,0,259
Empleado 1498,0.37,0.48,2,3,0,0,0,129
Empleado 1499,0.42,0.49,2,3,0,0,0,152
Empleado 1500,0.44,0.48,2,3,0,0,0,128
Empleado 1501,0.11,0.83,6,4,0,0,0,253
Empleado 1502,0.39,0.48,2,3,0,0,0,151
Empleado 1503,0.1,0.83,5,5,0,0,0,271
Empleado 1504,0.4,0.46,2,3,0,0,1,155
Empleado 1505,0.86,0.91,5,5,0,0,1,245
Empleado 1506,0.37,0.46,2,3,0,0,1,157
Empleado 1507,0.4,0.51,2,3,0,0,1,160
Empleado 1508,0.43,0.48,2,3,0,0,1,149
Empleado 1509,0.88,0.88,5,5,0,0,1,248
Empleado 1510,0.44,0.52,2,3,0,0,1,128
Empleado 1511,0.87,1,4,5,0,0,1,224
Empleado 1512,0.4,0.46,2,3,0,0,1,156
Empleado 1513,0.45,0.52,2,3,0,0,1,143
Empleado 1514,0.84,0.93,4,5,0,0,1,250
Empleado 1515,0.1,0.68,3,3,0,0,1,179
Empleado 1516,0.72,0.99,5,5,0,0,2,257
Empleado 1517,0.4,0.5,2,3,0,0,0,127
Empleado 1518,0.45,0.5,2,3,0,0,1,145
Empleado 1519,0.89,0.98,5,5,0,0,1,274
Empleado 1520,0.4,0.55,2,3,0,0,1,131
Empleado 1521,0.38,0.53,2,3,0,0,1,136
Empleado 1522,0.38,0.47,2,3,1,0,0,140
Empleado 1523,0.1,0.82,7,4,0,0,0,265
